"","UF","COD_MUN_IBGE","SIGLA_PARTIDO","QTDE_VOTOS_2012","vote_pct_2012","win_margin_2012","incumbent_2012","QTDE_VOTOS_2016","vote_pct_2016","elected_2016"
"6979","MG",3129103,"PR",2051,0.451861643533818,0.131747080854814,1,1432,0.339981006647673,0
"6980","MG",3129103,"PSDB",1453,0.320114562679004,-0.131747080854814,0,NA,NA,NA
"6981","MG",3129103,"PMDB",991,0.21833002864067,-0.233531614893148,0,2780,0.660018993352327,1
"6982","MG",3129103,"PSOL",44,0.00969376514650804,-0.44216787838731,0,NA,NA,NA
"6983","MG",3129202,"PT",1563,0.369067296340024,0.172136953955136,1,779,0.182992717876439,0
"6984","MG",3129202,"DEM",834,0.196930342384888,-0.172136953955136,0,NA,NA,NA
"6985","MG",3129202,"PRTB",816,0.192680047225502,-0.176387249114522,0,NA,NA,NA
"6986","MG",3129202,"PSD",583,0.137662337662338,-0.231404958677686,0,NA,NA,NA
"6987","MG",3129202,"PP",439,0.103659976387249,-0.265407319952775,0,NA,NA,NA
"6988","MG",3129301,"PSDB",4836,0.767740911255755,0.53548182251151,1,3957,0.573312083454071,1
"6989","MG",3129301,"PSB",1463,0.232259088744245,-0.53548182251151,0,NA,NA,NA
"6990","MG",3129400,"PSDB",2162,0.518838492920566,0.0376769858411327,1,1628,0.392478302796528,0
"6991","MG",3129400,"PTB",2005,0.481161507079434,-0.0376769858411327,0,2520,0.607521697203472,1
"6992","MG",3129509,"PSDB",6096,0.443377700196378,0.110189831987781,1,7015,0.531479657549814,1
"6993","MG",3129509,"PP",4581,0.333187868208597,-0.110189831987781,0,NA,NA,NA
"6994","MG",3129509,"PT",2826,0.205542221252455,-0.237835478943923,0,NA,NA,NA
"6995","MG",3129509,"PSOL",180,0.013091861226271,-0.430285838970107,0,NA,NA,NA
"6996","MG",3129509,"PRB",66,0.00480034911629937,-0.438577351080079,0,NA,NA,NA
"6997","MG",3129608,"PHS",3340,0.648669644591183,0.297339289182365,1,NA,NA,NA
"6998","MG",3129608,"PSDB",1809,0.351330355408817,-0.297339289182365,0,NA,NA,NA
"6999","MG",3129657,"PT",2272,0.5444524323029,0.0889048646057992,1,1979,0.450899977215767,0
"7000","MG",3129657,"PDT",1901,0.4555475676971,-0.0889048646057992,0,NA,NA,NA
"7001","MG",3129707,"PSDB",5348,0.740105175754221,0.480210351508442,1,2091,0.281502423263328,0
"7002","MG",3129707,"PT",1878,0.259894824245779,-0.480210351508442,0,2432,0.327409800753904,0
"7003","MG",3129806,"PP",33065,0.437084429404222,0.139301246546551,1,37254,0.48052316582396,0
"7004","MG",3129806,"PMDB",22527,0.297783182857672,-0.139301246546551,0,NA,NA,NA
"7005","MG",3129806,"PT",20057,0.265132387738106,-0.171952041666116,0,1214,0.0156588587349087,0
"7006","MG",3129905,"PSDB",1770,0.587064676616915,0.174129353233831,1,1423,0.491028295376121,1
