ANO_ELEICAO,NUM_TURNO,UF,COD_MUN_IBGE,NOME_MUNICIPIO,SIGLA_PARTIDO,QTDE_VOTOS
2000,1,AC,1200138,Bujari,PDT,226
2000,1,AC,1200138,Bujari,PMDB,1415
2000,1,AC,1200401,Rio Branco,PMDB,54990
2000,1,AC,1200807,Porto Acre,PMDB,3255
2000,1,AC,1200807,Porto Acre,PPS,1677
2000,1,AC,1200401,Rio Branco,PRTB,488
2000,1,AC,1200138,Bujari,PT,959
2000,1,AC,1200401,Rio Branco,PT,51539
2000,1,AC,1200401,Rio Branco,PTB,8003
2000,1,AL,2702405,Delmiro Gouveia,PC do B,1525
2000,1,AL,2708501,São Luís do Quitunde,PC do B,6
2000,1,AL,2700300,Arapiraca,PDT,22982
2000,1,AL,2700409,Atalaia,PDT,7105
2000,1,AL,2700805,Belém,PDT,1227
2000,1,AL,2700904,Belo Monte,PDT,1487
2000,1,AL,2701407,Campo Alegre,PDT,632
2000,1,AL,2701902,Chã Preta,PDT,1970
2000,1,AL,2702207,Coqueiro Seco,PDT,573
2000,1,AL,2702405,Delmiro Gouveia,PDT,474
2000,1,AL,2703502,Jacuípe,PDT,84
2000,1,AL,2703759,Jequiá da Praia,PDT,688
2000,1,AL,2704708,Marechal Deodoro,PDT,705
2000,1,AL,2705002,Mata Grande,PDT,6984
2000,1,AL,2705804,Olho d'Água do Casado,PDT,2447
2000,1,AL,2705903,Olho d'Água Grande,PDT,1392
2000,1,AL,2706422,Pariconha,PDT,2145
2000,1,AL,2706448,Paripueira,PDT,2493
2000,1,AL,2706505,Passo de Camaragibe,PDT,2670
2000,1,AL,2706604,Paulo Jacinto,PDT,2208
2000,1,AL,2706901,Pilar,PDT,5191
2000,1,AL,2707404,Porto de Pedras,PDT,1385
2000,1,AL,2708006,Santana do Ipanema,PDT,379
2000,1,AL,2709202,Traipu,PDT,1522
2000,1,AL,2700409,Atalaia,PFL,2572
2000,1,AL,2700508,Barra de Santo Antônio,PFL,2028
2000,1,AL,2700805,Belém,PFL,429
2000,1,AL,2701209,Cacimbinhas,PFL,1584
2000,1,AL,2701704,Capela,PFL,4051
2000,1,AL,2701902,Chã Preta,PFL,2079
2000,1,AL,2702355,Craíbas,PFL,3994
2000,1,AL,2702504,Dois Riachos,PFL,1786
2000,1,AL,2702553,Estrela de Alagoas,PFL,3009
2000,1,AL,2702801,Flexeiras,PFL,5026
2000,1,AL,2703007,Ibateguara,PFL,2519
2000,1,AL,2704005,Junqueiro,PFL,5918
2000,1,AL,2704203,Limoeiro de Anadia,PFL,6274
2000,1,AL,2704302,Maceió,PFL,26271
2000,1,AL,2704401,Major Isidoro,PFL,3774
2000,1,AL,2705200,Messias,PFL,3269
2000,1,AL,2705309,Minador do Negrão,PFL,1646
2000,1,AL,2707008,Pindoba,PFL,426
2000,1,AL,2707107,Piranhas,PFL,11
2000,1,AL,2707602,Quebrangulo,PFL,3819
2000,1,AL,2707701,Rio Largo,PFL,9296
2000,1,AL,2707909,Santa Luzia do Norte,PFL,1143
2000,1,AL,2708006,Santana do Ipanema,PFL,5022
2000,1,AL,2708105,Santana do Mundaú,PFL,1799
2000,1,AL,2708501,São Luís do Quitunde,PFL,84
2000,1,AL,2708956,Senador Rui Palmeira,PFL,1077
2000,1,AL,2709004,Tanque d'Arca,PFL,834
2000,1,AL,2709152,Teotônio Vilela,PFL,6503
2000,1,AL,2700409,Atalaia,PGT,102
2000,1,AL,2704401,Major Isidoro,PHS,421
2000,1,AL,2706307,Palmeira dos Índios,PHS,1598
2000,1,AL,2701704,Capela,PL,3568
2000,1,AL,2702603,Feira Grande,PL,4309
2000,1,AL,2704302,Maceió,PL,3718
2000,1,AL,2708006,Santana do Ipanema,PL,419
2000,1,AL,2708105,Santana do Mundaú,PL,2830
2000,1,AL,2708808,São Sebastião,PL,6659
2000,1,AL,2700102,Água Branca,PMDB,3917
2000,1,AL,2700201,Anadia,PMDB,2879
2000,1,AL,2700409,Atalaia,PMDB,5498
2000,1,AL,2700607,Barra de São Miguel,PMDB,1736
2000,1,AL,2701357,Campestre,PMDB,1573
2000,1,AL,2701605,Canapi,PMDB,2566
2000,1,AL,2701803,Carneiros,PMDB,1483
2000,1,AL,2702108,Colônia Leopoldina,PMDB,3882
2000,1,AL,2702306,Coruripe,PMDB,12028
2000,1,AL,2702405,Delmiro Gouveia,PMDB,12384
2000,1,AL,2702553,Estrela de Alagoas,PMDB,1144
2000,1,AL,2702603,Feira Grande,PMDB,126
2000,1,AL,2702702,Feliz Deserto,PMDB,1167
2000,1,AL,2702801,Flexeiras,PMDB,215
2000,1,AL,2702900,Girau do Ponciano,PMDB,3044
2000,1,AL,2703502,Jacuípe,PMDB,497
2000,1,AL,2703759,Jequiá da Praia,PMDB,1037
2000,1,AL,2703809,Joaquim Gomes,PMDB,2816
2000,1,AL,2704104,Lagoa da Canoa,PMDB,4230
2000,1,AL,2704609,Maravilha,PMDB,3828
2000,1,AL,2704708,Marechal Deodoro,PMDB,5386
2000,1,AL,2705101,Matriz de Camaragibe,PMDB,6248
2000,1,AL,2705200,Messias,PMDB,2125
2000,1,AL,2705309,Minador do Negrão,PMDB,887
2000,1,AL,2705507,Murici,PMDB,8955
2000,1,AL,2705606,Novo Lino,PMDB,1950
2000,1,AL,2705804,Olho d'Água do Casado,PMDB,148
2000,1,AL,2705903,Olho d'Água Grande,PMDB,1156
2000,1,AL,2706208,Palestina,PMDB,1407
2000,1,AL,2706406,Pão de Açúcar,PMDB,324
2000,1,AL,2706604,Paulo Jacinto,PMDB,163
2000,1,AL,2707305,Porto Calvo,PMDB,5281
2000,1,AL,2707503,Porto Real do Colégio,PMDB,4918
2000,1,AL,2708501,São Luís do Quitunde,PMDB,6295
2000,1,AL,2708600,São Miguel dos Campos,PMDB,15553
2000,1,AL,2708709,São Miguel dos Milagres,PMDB,1550
2000,1,AL,2709152,Teotônio Vilela,PMDB,4934
2000,1,AL,2709202,Traipu,PMDB,3469
2000,1,AL,2709301,União dos Palmares,PMDB,8869
2000,1,AL,2703007,Ibateguara,PMN,2119
2000,1,AL,2704401,Major Isidoro,PMN,3450
2000,1,AL,2707701,Rio Largo,PMN,5890
2000,1,AL,2707909,Santa Luzia do Norte,PMN,78
2000,1,AL,2700508,Barra de Santo Antônio,PPB,3284
2000,1,AL,2701407,Campo Alegre,PPB,6088
2000,1,AL,2702306,Coruripe,PPB,8275
2000,1,AL,2704708,Marechal Deodoro,PPB,1650
2000,1,AL,2706406,Pão de Açúcar,PPB,328
2000,1,AL,2706448,Paripueira,PPB,420
2000,1,AL,2706901,Pilar,PPB,8376
2000,1,AL,2708402,São José da Tapera,PPB,2749
2000,1,AL,2708600,São Miguel dos Campos,PPB,5333
2000,1,AL,2709400,Viçosa,PPB,264
2000,1,AL,2700805,Belém,PPS,132
2000,1,AL,2702108,Colônia Leopoldina,PPS,4207
2000,1,AL,2703502,Jacuípe,PPS,1017
2000,1,AL,2704203,Limoeiro de Anadia,PPS,2904
2000,1,AL,2704302,Maceió,PPS,61695
2000,1,AL,2704401,Major Isidoro,PPS,579
2000,1,AL,2706703,Penedo,PPS,8696
2000,1,AL,2707404,Porto de Pedras,PPS,2036
2000,1,AL,2707701,Rio Largo,PPS,539
2000,1,AL,2708501,São Luís do Quitunde,PPS,5283
2000,1,AL,2708907,Satuba,PPS,1735
2000,1,AL,2709400,Viçosa,PPS,4429
2000,1,AL,2701001,Boca da Mata,PRN,3491
2000,1,AL,2701001,Boca da Mata,PRP,387
2000,1,AL,2701100,Branquinha,PRP,12
2000,1,AL,2701308,Cajueiro,PRP,516
2000,1,AL,2706406,Pão de Açúcar,PRP,24
2000,1,AL,2706505,Passo de Camaragibe,PRP,1040
2000,1,AL,2700805,Belém,PRTB,229
2000,1,AL,2701308,Cajueiro,PRTB,2458
2000,1,AL,2702009,Coité do Nóia,PRTB,3383
2000,1,AL,2703403,Jacaré dos Homens,PRTB,1920
2000,1,AL,2704708,Marechal Deodoro,PRTB,2470
2000,1,AL,2704807,Maribondo,PRTB,2531
2000,1,AL,2705408,Monteirópolis,PRTB,1786
2000,1,AL,2706208,Palestina,PRTB,1268
2000,1,AL,2706703,Penedo,PRTB,152
2000,1,AL,2709400,Viçosa,PRTB,87
2000,1,AL,2700102,Água Branca,PSB,801
2000,1,AL,2700201,Anadia,PSB,503
2000,1,AL,2700409,Atalaia,PSB,317
2000,1,AL,2700706,Batalha,PSB,3761
2000,1,AL,2701001,Boca da Mata,PSB,3544
2000,1,AL,2701100,Branquinha,PSB,393
2000,1,AL,2701357,Campestre,PSB,48
2000,1,AL,2701407,Campo Alegre,PSB,4313
2000,1,AL,2701506,Campo Grande,PSB,2869
2000,1,AL,2701605,Canapi,PSB,4156
2000,1,AL,2701803,Carneiros,PSB,826
2000,1,AL,2702207,Coqueiro Seco,PSB,1245
2000,1,AL,2702355,Craíbas,PSB,4639
2000,1,AL,2702405,Delmiro Gouveia,PSB,3997
2000,1,AL,2702900,Girau do Ponciano,PSB,5395
2000,1,AL,2703007,Ibateguara,PSB,521
2000,1,AL,2703106,Igaci,PSB,2213
2000,1,AL,2703205,Igreja Nova,PSB,3652
2000,1,AL,2703403,Jacaré dos Homens,PSB,856
2000,1,AL,2703502,Jacuípe,PSB,1149
2000,1,AL,2703908,Jundiá,PSB,1295
2000,1,AL,2704005,Junqueiro,PSB,4982
2000,1,AL,2704104,Lagoa da Canoa,PSB,3368
2000,1,AL,2704302,Maceió,PSB,121783
2000,1,AL,2704609,Maravilha,PSB,1454
2000,1,AL,2705101,Matriz de Camaragibe,PSB,2598
2000,1,AL,2705408,Monteirópolis,PSB,1561
2000,1,AL,2705507,Murici,PSB,1982
2000,1,AL,2705804,Olho d'Água do Casado,PSB,331
2000,1,AL,2705903,Olho d'Água Grande,PSB,37
2000,1,AL,2706000,Olivença,PSB,39
2000,1,AL,2706109,Ouro Branco,PSB,3518
2000,1,AL,2706307,Palmeira dos Índios,PSB,5189
2000,1,AL,2706422,Pariconha,PSB,1987
2000,1,AL,2706448,Paripueira,PSB,562
2000,1,AL,2706802,Piaçabuçu,PSB,3561
2000,1,AL,2707008,Pindoba,PSB,705
2000,1,AL,2707107,Piranhas,PSB,891
2000,1,AL,2707206,Poço das Trincheiras,PSB,2676
2000,1,AL,2707305,Porto Calvo,PSB,291
2000,1,AL,2707404,Porto de Pedras,PSB,87
2000,1,AL,2707701,Rio Largo,PSB,8578
2000,1,AL,2708105,Santana do Mundaú,PSB,231
2000,1,AL,2708204,São Brás,PSB,1513
2000,1,AL,2708303,São José da Laje,PSB,4559
2000,1,AL,2708709,São Miguel dos Milagres,PSB,1873
2000,1,AL,2709103,Taquarana,PSB,3074
2000,1,AL,2709202,Traipu,PSB,1031
2000,1,AL,2703700,Jaramataia,PSC,703
2000,1,AL,2704500,Maragogi,PSC,4023
2000,1,AL,2705705,Olho d'Água das Flores,PSC,4937
2000,1,AL,2706505,Passo de Camaragibe,PSC,32
