ANO_ELEICAO,NUM_TURNO,UF,COD_MUN_IBGE,NOME_MUNICIPIO,SIGLA_PARTIDO,QTDE_VOTOS
2004,1,AC,1200179,Capixaba,PC do B,975
2004,1,AC,1200336,Mâncio Lima,PC do B,1881
2004,1,AC,1200435,Santa Rosa do Purus,PC do B,430
2004,1,AC,1200609,Tarauacá,PC do B,3401
2004,1,AC,1200252,Epitaciolândia,PDT,1768
2004,1,AC,1200807,Porto Acre,PDT,165
2004,1,AC,1200385,Plácido de Castro,PFL,1005
2004,1,AC,1200500,Sena Madureira,PFL,4081
2004,1,AC,1200336,Mâncio Lima,PL,2327
2004,1,AC,1200385,Plácido de Castro,PL,1978
2004,1,AC,1200500,Sena Madureira,PL,4355
2004,1,AC,1200807,Porto Acre,PL,1242
2004,1,AC,1200104,Brasiléia,PMDB,4339
2004,1,AC,1200138,Bujari,PMDB,1194
2004,1,AC,1200328,Jordão,PMDB,988
2004,1,AC,1200336,Mâncio Lima,PMDB,1900
2004,1,AC,1200351,Marechal Thaumaturgo,PMDB,1680
2004,1,AC,1200393,Porto Walter,PMDB,1660
2004,1,AC,1200609,Tarauacá,PMDB,2575
2004,1,AC,1200708,Xapuri,PMDB,3520
2004,1,AC,1200385,Plácido de Castro,PMN,1533
2004,1,AC,1200500,Sena Madureira,PMN,3683
2004,1,AC,1200328,Jordão,PP,47
2004,1,AC,1200401,Rio Branco,PP,12356
2004,1,AC,1200427,Rodrigues Alves,PP,3277
2004,1,AC,1200500,Sena Madureira,PP,2250
2004,1,AC,1200054,Assis Brasil,PPS,1369
2004,1,AC,1200179,Capixaba,PPS,879
2004,1,AC,1200401,Rio Branco,PPS,58789
2004,1,AC,1200450,Senador Guiomard,PPS,5184
2004,1,AC,1200807,Porto Acre,PPS,2095
2004,1,AC,1200252,Epitaciolândia,PSB,2844
2004,1,AC,1200385,Plácido de Castro,PSB,1413
2004,1,AC,1200807,Porto Acre,PSB,486
2004,1,AC,1200013,Acrelândia,PSDB,2173
2004,1,AC,1200179,Capixaba,PSDB,634
2004,1,AC,1200252,Epitaciolândia,PSDB,1029
2004,1,AC,1200302,Feijó,PSDB,5080
2004,1,AC,1200609,Tarauacá,PSDB,3859
2004,1,AC,1200138,Bujari,PSDC,939
2004,1,AC,1200344,Manoel Urbano,PSDC,2173
2004,1,AC,1200013,Acrelândia,PT,1090
2004,1,AC,1200054,Assis Brasil,PT,1675
2004,1,AC,1200104,Brasiléia,PT,5592
2004,1,AC,1200138,Bujari,PT,1794
2004,1,AC,1200203,Cruzeiro do Sul,PT,9048
2004,1,AC,1200302,Feijó,PT,5337
2004,1,AC,1200328,Jordão,PT,1345
2004,1,AC,1200344,Manoel Urbano,PT,969
2004,1,AC,1200351,Marechal Thaumaturgo,PT,2782
2004,1,AC,1200385,Plácido de Castro,PT,2199
2004,1,AC,1200393,Porto Walter,PT,1746
2004,1,AC,1200401,Rio Branco,PT,69732
2004,1,AC,1200427,Rodrigues Alves,PT,1638
2004,1,AC,1200435,Santa Rosa do Purus,PT,647
2004,1,AC,1200450,Senador Guiomard,PT,4429
2004,1,AC,1200708,Xapuri,PT,3367
2004,1,AC,1200807,Porto Acre,PT,1394
2004,1,AC,1200013,Acrelândia,PTB,2060
2004,1,AC,1200179,Capixaba,PTB,1155
2004,1,AC,1200203,Cruzeiro do Sul,PTB,20120
2004,1,AC,1200609,Tarauacá,PTB,2757
2004,1,AL,2700805,Belém,PAN,1
2004,1,AL,2701357,Campestre,PC do B,27
2004,1,AL,2703809,Joaquim Gomes,PC do B,783
2004,1,AL,2704708,Marechal Deodoro,PC do B,279
2004,1,AL,2707305,Porto Calvo,PC do B,53
2004,1,AL,2700409,Atalaia,PDT,8933
2004,1,AL,2702405,Delmiro Gouveia,PDT,11877
2004,1,AL,2702553,Estrela de Alagoas,PDT,289
2004,1,AL,2704302,Maceió,PDT,143874
2004,1,AL,2706448,Paripueira,PDT,1922
2004,1,AL,2708501,São Luís do Quitunde,PDT,7692
2004,1,AL,2708808,São Sebastião,PDT,55
2004,1,AL,2701209,Cacimbinhas,PFL,2402
2004,1,AL,2701605,Canapi,PFL,2013
2004,1,AL,2701704,Capela,PFL,3761
2004,1,AL,2702702,Feliz Deserto,PFL,812
2004,1,AL,2703007,Ibateguara,PFL,3097
2004,1,AL,2703700,Jaramataia,PFL,17
2004,1,AL,2704203,Limoeiro de Anadia,PFL,6870
2004,1,AL,2704401,Major Isidoro,PFL,4046
2004,1,AL,2704807,Maribondo,PFL,2960
2004,1,AL,2706406,Pão de Açúcar,PFL,20
2004,1,AL,2702504,Dois Riachos,PHS,62
2004,1,AL,2708006,Santana do Ipanema,PHS,181
2004,1,AL,2700201,Anadia,PL,992
2004,1,AL,2701357,Campestre,PL,1073
2004,1,AL,2701407,Campo Alegre,PL,5139
2004,1,AL,2702009,Coité do Nóia,PL,3008
2004,1,AL,2702504,Dois Riachos,PL,2734
2004,1,AL,2703007,Ibateguara,PL,3172
2004,1,AL,2703403,Jacaré dos Homens,PL,1827
2004,1,AL,2703908,Jundiá,PL,1258
2004,1,AL,2706000,Olivença,PL,3934
2004,1,AL,2706109,Ouro Branco,PL,9
2004,1,AL,2706208,Palestina,PL,1246
2004,1,AL,2706406,Pão de Açúcar,PL,4704
2004,1,AL,2706703,Penedo,PL,5601
2004,1,AL,2707107,Piranhas,PL,31
2004,1,AL,2707206,Poço das Trincheiras,PL,3271
2004,1,AL,2707701,Rio Largo,PL,4115
2004,1,AL,2708105,Santana do Mundaú,PL,2125
2004,1,AL,2708709,São Miguel dos Milagres,PL,1734
2004,1,AL,2708808,São Sebastião,PL,5929
2004,1,AL,2708907,Satuba,PL,2649
2004,1,AL,2709103,Taquarana,PL,3766
2004,1,AL,2709400,Viçosa,PL,6138
2004,1,AL,2700102,Água Branca,PMDB,3152
2004,1,AL,2700300,Arapiraca,PMDB,53391
2004,1,AL,2700508,Barra de Santo Antônio,PMDB,27
2004,1,AL,2700706,Batalha,PMDB,4020
2004,1,AL,2701803,Carneiros,PMDB,2811
2004,1,AL,2702108,Colônia Leopoldina,PMDB,3818
2004,1,AL,2702207,Coqueiro Seco,PMDB,438
2004,1,AL,2702306,Coruripe,PMDB,20306
2004,1,AL,2702405,Delmiro Gouveia,PMDB,10785
2004,1,AL,2702553,Estrela de Alagoas,PMDB,3084
2004,1,AL,2702702,Feliz Deserto,PMDB,1525
2004,1,AL,2703759,Jequiá da Praia,PMDB,3658
2004,1,AL,2704104,Lagoa da Canoa,PMDB,4074
2004,1,AL,2704302,Maceió,PMDB,67543
2004,1,AL,2704609,Maravilha,PMDB,3393
2004,1,AL,2704708,Marechal Deodoro,PMDB,9980
2004,1,AL,2704906,Mar Vermelho,PMDB,1222
2004,1,AL,2705101,Matriz de Camaragibe,PMDB,6952
2004,1,AL,2705200,Messias,PMDB,1910
2004,1,AL,2705309,Minador do Negrão,PMDB,1365
2004,1,AL,2705507,Murici,PMDB,6256
2004,1,AL,2705804,Olho d'Água do Casado,PMDB,3248
2004,1,AL,2706406,Pão de Açúcar,PMDB,569
2004,1,AL,2706422,Pariconha,PMDB,2244
2004,1,AL,2707305,Porto Calvo,PMDB,8607
2004,1,AL,2707503,Porto Real do Colégio,PMDB,5009
2004,1,AL,2707701,Rio Largo,PMDB,18742
2004,1,AL,2707800,Roteiro,PMDB,1514
2004,1,AL,2708105,Santana do Mundaú,PMDB,189
2004,1,AL,2708402,São José da Tapera,PMDB,376
2004,1,AL,2708600,São Miguel dos Campos,PMDB,15929
2004,1,AL,2708956,Senador Rui Palmeira,PMDB,1882
2004,1,AL,2701209,Cacimbinhas,PMN,20
2004,1,AL,2701605,Canapi,PMN,1918
2004,1,AL,2702603,Feira Grande,PMN,5821
2004,1,AL,2702801,Flexeiras,PMN,2679
2004,1,AL,2703601,Japaratinga,PMN,2284
2004,1,AL,2703809,Joaquim Gomes,PMN,3080
2004,1,AL,2704104,Lagoa da Canoa,PMN,4592
2004,1,AL,2704302,Maceió,PMN,9526
2004,1,AL,2704708,Marechal Deodoro,PMN,8553
2004,1,AL,2704807,Maribondo,PMN,38
2004,1,AL,2705606,Novo Lino,PMN,2682
2004,1,AL,2708907,Satuba,PMN,2458
2004,1,AL,2709152,Teotônio Vilela,PMN,6459
2004,1,AL,2709400,Viçosa,PMN,760
2004,1,AL,2701308,Cajueiro,PP,4580
2004,1,AL,2702207,Coqueiro Seco,PP,886
2004,1,AL,2702553,Estrela de Alagoas,PP,3820
2004,1,AL,2702603,Feira Grande,PP,4375
2004,1,AL,2702801,Flexeiras,PP,2727
2004,1,AL,2704005,Junqueiro,PP,6272
2004,1,AL,2704500,Maragogi,PP,4264
2004,1,AL,2706208,Palestina,PP,1605
2004,1,AL,2706307,Palmeira dos Índios,PP,2785
2004,1,AL,2706422,Pariconha,PP,2801
2004,1,AL,2706505,Passo de Camaragibe,PP,2607
2004,1,AL,2707404,Porto de Pedras,PP,1127
2004,1,AL,2707503,Porto Real do Colégio,PP,4664
2004,1,AL,2707701,Rio Largo,PP,12069
2004,1,AL,2708402,São José da Tapera,PP,4530
2004,1,AL,2708808,São Sebastião,PP,10188
2004,1,AL,2709103,Taquarana,PP,438
2004,1,AL,2709301,União dos Palmares,PP,7123
2004,1,AL,2709400,Viçosa,PP,212
2004,1,AL,2700508,Barra de Santo Antônio,PPS,3309
2004,1,AL,2700607,Barra de São Miguel,PPS,1483
2004,1,AL,2701902,Chã Preta,PPS,2116
2004,1,AL,2702355,Craíbas,PPS,4310
2004,1,AL,2703007,Ibateguara,PPS,8
2004,1,AL,2703304,Inhapi,PPS,64
2004,1,AL,2703403,Jacaré dos Homens,PPS,1154
