ANO_ELEICAO,NUM_TURNO,UF,COD_MUN_IBGE,NOME_MUNICIPIO,SIGLA_PARTIDO,QTDE_VOTOS
2016,1,AC,1200054,Assis Brasil,DEM,753
2016,1,AC,1200179,Capixaba,DEM,1898
2016,1,AC,1200500,Sena Madureira,DEM,911
2016,1,AC,1200708,Xapuri,DEM,3061
2016,1,AC,1200054,Assis Brasil,PC do B,1342
2016,1,AC,1200138,Bujari,PC do B,1853
2016,1,AC,1200328,Jordão,PC do B,2012
2016,1,AC,1200385,Plácido de Castro,PC do B,2953
2016,1,AC,1200013,Acrelândia,PDT,886
2016,1,AC,1200336,Mâncio Lima,PEN,152
2016,1,AC,1200138,Bujari,PMDB,1038
2016,1,AC,1200203,Cruzeiro do Sul,PMDB,18119
2016,1,AC,1200302,Feijó,PMDB,2875
2016,1,AC,1200328,Jordão,PMDB,881
2016,1,AC,1200344,Manoel Urbano,PMDB,2167
2016,1,AC,1200351,Marechal Thaumaturgo,PMDB,4094
2016,1,AC,1200393,Porto Walter,PMDB,3091
2016,1,AC,1200401,Rio Branco,PMDB,60871
2016,1,AC,1200427,Rodrigues Alves,PMDB,5007
2016,1,AC,1200500,Sena Madureira,PMDB,7889
2016,1,AC,1200708,Xapuri,PMDB,1862
2016,1,AC,1200807,Porto Acre,PMDB,970
2016,1,AC,1200385,Plácido de Castro,PMN,116
2016,1,AC,1200013,Acrelândia,PP,1545
2016,1,AC,1200138,Bujari,PP,1468
2016,1,AC,1200179,Capixaba,PP,2198
2016,1,AC,1200302,Feijó,PP,6558
2016,1,AC,1200336,Mâncio Lima,PP,4024
2016,1,AC,1200435,Santa Rosa do Purus,PP,193
2016,1,AC,1200450,Senador Guiomard,PP,3313
2016,1,AC,1200807,Porto Acre,PP,3227
2016,1,AC,1200179,Capixaba,PR,880
2016,1,AC,1200385,Plácido de Castro,PR,2247
2016,1,AC,1200401,Rio Branco,PR,9202
2016,1,AC,1200435,Santa Rosa do Purus,PR,36
2016,1,AC,1200609,Tarauacá,PR,1742
2016,1,AC,1200013,Acrelândia,PRB,259
2016,1,AC,1200450,Senador Guiomard,PRB,1993
2016,1,AC,1200427,Rodrigues Alves,PROS,3163
2016,1,AC,1200708,Xapuri,PROS,535
2016,1,AC,1200807,Porto Acre,PROS,4442
2016,1,AC,1200435,Santa Rosa do Purus,PRP,1101
2016,1,AC,1200013,Acrelândia,PSB,3852
2016,1,AC,1200138,Bujari,PSB,700
2016,1,AC,1200179,Capixaba,PSB,501
2016,1,AC,1200203,Cruzeiro do Sul,PSB,11466
2016,1,AC,1200252,Epitaciolândia,PSB,4068
2016,1,AC,1200500,Sena Madureira,PSB,4623
2016,1,AC,1200252,Epitaciolândia,PSD,1549
2016,1,AC,1200344,Manoel Urbano,PSD,978
2016,1,AC,1200435,Santa Rosa do Purus,PSD,358
2016,1,AC,1200450,Senador Guiomard,PSD,4533
2016,1,AC,1200609,Tarauacá,PSD,8589
2016,1,AC,1200013,Acrelândia,PSDB,627
2016,1,AC,1200054,Assis Brasil,PSDB,2324
2016,1,AC,1200104,Brasiléia,PSDB,6013
2016,1,AC,1200203,Cruzeiro do Sul,PSDB,9292
2016,1,AC,1200328,Jordão,PSDB,753
2016,1,AC,1200385,Plácido de Castro,PSDB,4864
2016,1,AC,1200450,Senador Guiomard,PSDB,4163
2016,1,AC,1200500,Sena Madureira,PSDB,6986
2016,1,AC,1200344,Manoel Urbano,PSDC,100
2016,1,AC,1200427,Rodrigues Alves,PSOL,348
2016,1,AC,1200104,Brasiléia,PT,6819
2016,1,AC,1200138,Bujari,PT,1145
2016,1,AC,1200179,Capixaba,PT,678
2016,1,AC,1200252,Epitaciolândia,PT,3026
2016,1,AC,1200302,Feijó,PT,4532
2016,1,AC,1200336,Mâncio Lima,PT,5390
2016,1,AC,1200344,Manoel Urbano,PT,1707
2016,1,AC,1200351,Marechal Thaumaturgo,PT,3150
2016,1,AC,1200393,Porto Walter,PT,1502
2016,1,AC,1200401,Rio Branco,PT,104311
2016,1,AC,1200435,Santa Rosa do Purus,PT,731
2016,1,AC,1200609,Tarauacá,PT,7572
2016,1,AC,1200708,Xapuri,PT,3854
2016,1,AC,1200807,Porto Acre,PT,1154
2016,1,AC,1200401,Rio Branco,REDE,15735
2016,1,AL,2700706,Batalha,DEM,4027
2016,1,AL,2701605,Canapi,DEM,5969
2016,1,AL,2702702,Feliz Deserto,DEM,1201
2016,1,AL,2703304,Inhapi,DEM,793
2016,1,AL,2705309,Minador do Negrão,DEM,1268
2016,1,AL,2708600,São Miguel dos Campos,DEM,14158
