"COD_MUN_TSE","NUM_TURNO","SIGLA_PARTIDO","NOME_MUNICIPIO","DESCRICAO_CARGO","ANO_ELEICAO","COD_MUN_IBGE","UF","QTDE_VOTOS"
"00019","1","PDT","GUAJARA MIRIM","PREFEITO","2000","1100106","RO","2998"
"00019","1","PMDB","GUAJARA MIRIM","PREFEITO","2000","1100106","RO","6870"
"00019","1","PSDB","GUAJARA MIRIM","PREFEITO","2000","1100106","RO","4500"
"00019","1","PT","GUAJARA MIRIM","PREFEITO","2000","1100106","RO","2393"
"00035","1","PDT","PORTO VELHO","PREFEITO","2000","1100205","RO","60558"
"00035","1","PSB","PORTO VELHO","PREFEITO","2000","1100205","RO","50908"
"00035","1","PSDB","PORTO VELHO","PREFEITO","2000","1100205","RO","22287"
"00035","1","PSL","PORTO VELHO","PREFEITO","2000","1100205","RO","9108"
"00051","1","PDT","JI PARANA","PREFEITO","2000","1100122","RO","21966"
"00051","1","PFL","JI PARANA","PREFEITO","2000","1100122","RO","12795"
"00051","1","PMDB","JI PARANA","PREFEITO","2000","1100122","RO","11962"
"00078","1","PFL","ARIQUEMES","PREFEITO","2000","1100023","RO","2419"
"00078","1","PPB","ARIQUEMES","PREFEITO","2000","1100023","RO","16898"
"00078","1","PPS","ARIQUEMES","PREFEITO","2000","1100023","RO","3392"
"00078","1","PT","ARIQUEMES","PREFEITO","2000","1100023","RO","3581"
"00078","1","PTB","ARIQUEMES","PREFEITO","2000","1100023","RO","7209"
"00094","1","PMDB","CACOAL","PREFEITO","2000","1100049","RO","16686"
"00094","1","PPS","CACOAL","PREFEITO","2000","1100049","RO","7231"
"00116","1","PDT","PIMENTA BUENO","PREFEITO","2000","1100189","RO","4943"
"00116","1","PPB","PIMENTA BUENO","PREFEITO","2000","1100189","RO","2351"
"00116","1","PSB","PIMENTA BUENO","PREFEITO","2000","1100189","RO","8774"
"00132","1","PFL","VILHENA","PREFEITO","2000","1100304","RO","1415"
"00132","1","PMDB","VILHENA","PREFEITO","2000","1100304","RO","8635"
"00132","1","PTB","VILHENA","PREFEITO","2000","1100304","RO","15968"
"00159","1","PFL","JARU","PREFEITO","2000","1100114","RO","7648"
"00159","1","PMDB","JARU","PREFEITO","2000","1100114","RO","15107"
"00175","1","PFL","OURO PRETO DO OESTE","PREFEITO","2000","1100155","RO","10918"
"00175","1","PMDB","OURO PRETO DO OESTE","PREFEITO","2000","1100155","RO","4827"
"00191","1","PFL","PRESIDENTE MEDICI","PREFEITO","2000","1100254","RO","5389"
"00191","1","PMDB","PRESIDENTE MEDICI","PREFEITO","2000","1100254","RO","6297"
"00213","1","PFL","COSTA MARQUES","PREFEITO","2000","1100080","RO","2205"
"00213","1","PPB","COSTA MARQUES","PREFEITO","2000","1100080","RO","1932"
"00230","1","PDT","COLORADO DO OESTE","PREFEITO","2000","1100064","RO","4179"
"00230","1","PPB","COLORADO DO OESTE","PREFEITO","2000","1100064","RO","2203"
"00230","1","PSB","COLORADO DO OESTE","PREFEITO","2000","1100064","RO","68"
"00230","1","PSDB","COLORADO DO OESTE","PREFEITO","2000","1100064","RO","1430"
"00256","1","PL","ESPIGAO D'OESTE","PREFEITO","2000","1100098","RO","3401"
"00256","1","PT do B","ESPIGAO D'OESTE","PREFEITO","2000","1100098","RO","4391"
"00256","1","PTB","ESPIGAO D'OESTE","PREFEITO","2000","1100098","RO","4862"
"00272","1","PDT","CEREJEIRAS","PREFEITO","2000","1100056","RO","2124"
