"","UF","COD_MUN_IBGE","SIGLA_PARTIDO","QTDE_VOTOS_2000","vote_pct_2000","rank_2000","win_margin_2000","Incumbent_2000","vote_pct_2004","NOME","POP_201","IDHM_10","PIB_PER"
"2756","PE",2605509,"PFL",2306,0.360087445346658,2,-0.279825109306683,0,NA,"FERREIROS",11537,0.622,5831
"2757","PE",2605608,"PMDB",5421,0.507441729851165,1,0.0148834597023308,1,0.434075760039018,"FLORES",22162,0.556,4017
"2758","PE",2605608,"PFL",5262,0.492558270148835,2,-0.0148834597023308,0,0.565924239960982,"FLORES",22162,0.556,4017
"2759","PE",2605707,"PMDB",7694,0.615618498959834,1,0.231236997919667,1,NA,"FLORESTA",29973,0.626,9774
"2760","PE",2605707,"PFL",4804,0.384381501040166,2,-0.231236997919667,0,NA,"FLORESTA",29973,0.626,9774
"2761","PE",2605806,"PSDB",3727,0.506317076484173,1,0.0126341529683467,1,0.479066022544283,"FREI MIGUELINHO",14492,0.576,4230
"2762","PE",2605806,"PFL",3634,0.493682923515827,2,-0.0126341529683467,0,NA,"FREI MIGUELINHO",14492,0.576,4230
"2763","PE",2605905,"PMDB",5305,0.583031102318936,1,0.220683591603473,1,0.43473441108545,"GAMELEIRA",28503,0.602,4148
"2764","PE",2605905,"PSB",3297,0.362347510715463,2,-0.220683591603473,0,0.56526558891455,"GAMELEIRA",28503,0.602,4148
"2765","PE",2605905,"PTB",497,0.0546213869656006,3,-0.528409715353336,0,NA,"GAMELEIRA",28503,0.602,4148
"2766","PE",2606002,"PMDB",21845,0.462807991356115,1,0.199889832842525,1,0.455304019735887,"GARANHUNS",131169,0.664,8811
"2767","PE",2606002,"PSDB",12410,0.262918158513591,2,-0.199889832842525,0,NA,"GARANHUNS",131169,0.664,8811
"2768","PE",2606002,"PPB",11801,0.250015889493867,3,-0.212792101862249,0,NA,"GARANHUNS",131169,0.664,8811
"2769","PE",2606002,"PDT",801,0.0169699794495879,4,-0.445838011906527,0,NA,"GARANHUNS",131169,0.664,8811
"2770","PE",2606002,"PSTU",344,0.00728798118683926,5,-0.455520010169276,0,0.0141670294587143,"GARANHUNS",131169,0.664,8811
"2771","PE",2606101,"PSB",7095,0.624394966118103,1,0.404382645428144,1,NA,"GLORIA DO GOITA",29241,0.604,4011
