"","ANO_ELEICAO","NUM_TURNO","UF","COD_MUN_IBGE","NOME_MUNICIPIO","SIGLA_PARTIDO","QTDE_VOTOS.x","vote_pct_2012","rank_2012","first_rank_vote_pct","second_rank_vote_pct","win_margin","Incumbent","QTDE_VOTOS.y","vote_pct_2016"
"5835",2012,1,"BA",2922904,"Nova Soure","PDT",7628,0.570829903464791,1,0.570829903464791,0.428346928085011,0.14248297537978,1,NA,NA
"5836",2012,1,"BA",2922904,"Nova Soure","PT",5724,0.428346928085011,2,0.570829903464791,0.428346928085011,-0.14248297537978,0,NA,NA
"5837",2012,1,"BA",2922904,"Nova Soure","PV",11,0.000823168450198309,3,0.570829903464791,0.428346928085011,-0.570006735014592,0,84,0.00573144104803493
"5838",2012,1,"BA",2923001,"Nova Viçosa","PMDB",9650,0.477179449142066,1,0.477179449142066,0.462987687286753,0.0141917618553132,1,NA,NA
"5839",2012,1,"BA",2923001,"Nova Viçosa","DEM",9363,0.462987687286753,2,0.477179449142066,0.462987687286753,-0.0141917618553132,0,11076,0.508960573476703
"5840",2012,1,"BA",2923001,"Nova Viçosa","PDT",1210,0.0598328635711813,3,0.477179449142066,0.462987687286753,-0.417346585570885,0,NA,NA
"5841",2012,1,"BA",2923035,"Novo Horizonte","PT",3575,0.546970624235006,1,0.546970624235006,0.453029375764994,0.0939412484700122,1,2806,0.387997787610619
"5842",2012,1,"BA",2923035,"Novo Horizonte","PMDB",2961,0.453029375764994,2,0.546970624235006,0.453029375764994,-0.0939412484700122,0,NA,NA
"5843",2012,1,"BA",2923050,"Novo Triunfo","PDT",3743,0.655861223059401,1,0.655861223059401,0.344138776940599,0.311722446118802,1,NA,NA
"5844",2012,1,"BA",2923050,"Novo Triunfo","PR",1964,0.344138776940599,2,0.655861223059401,0.344138776940599,-0.311722446118802,0,NA,NA
"5845",2012,1,"BA",2923100,"Olindina","PMDB",8133,0.603741370351125,1,0.603741370351125,0.359809962140895,0.243931408210229,1,6456,0.452798428952167
"5846",2012,1,"BA",2923100,"Olindina","PSB",4847,0.359809962140895,2,0.603741370351125,0.359809962140895,-0.243931408210229,0,NA,NA
"5847",2012,1,"BA",2923100,"Olindina","PT",491,0.0364486675079801,3,0.603741370351125,0.359809962140895,-0.567292702843144,0,NA,NA
"5848",2012,1,"BA",2923209,"Oliveira dos Brejinhos","PP",7897,0.658742075408742,1,0.658742075408742,0.341257924591258,0.317484150817484,1,NA,NA
"5849",2012,1,"BA",2923209,"Oliveira dos Brejinhos","PT",4091,0.341257924591258,2,0.658742075408742,0.341257924591258,-0.317484150817484,0,NA,NA
"5850",2012,1,"BA",2923308,"Ouriçangas","PSD",2824,0.532830188679245,1,0.532830188679245,0.467169811320755,0.0656603773584906,1,NA,NA
"5851",2012,1,"BA",2923308,"Ouriçangas","PT",2476,0.467169811320755,2,0.532830188679245,0.467169811320755,-0.0656603773584906,0,NA,NA
"5852",2012,1,"BA",2923357,"Ourolândia","PT",5318,0.536196813873765,1,0.536196813873765,0.463803186126235,0.0723936277475297,1,NA,NA
"5853",2012,1,"BA",2923357,"Ourolândia","PMDB",4600,0.463803186126235,2,0.536196813873765,0.463803186126235,-0.0723936277475297,0,5495,0.538989700833742
"5854",2012,1,"BA",2923407,"Palmas de Monte Alto","PMDB",6141,0.502084866323277,1,0.502084866323277,0.497915133676723,0.00416973264655379,1,6149,0.440756934986739
"5855",2012,1,"BA",2923407,"Palmas de Monte Alto","PC do B",6090,0.497915133676723,2,0.502084866323277,0.497915133676723,-0.00416973264655379,0,NA,NA
"5856",2012,1,"BA",2923506,"Palmeiras","PPS",2853,0.578584465625634,1,0.578584465625634,0.39079294260799,0.187791523017643,1,NA,NA
"5857",2012,1,"BA",2923506,"Palmeiras","PSD",1927,0.39079294260799,2,0.578584465625634,0.39079294260799,-0.187791523017643,0,2716,0.506905561776782
"5858",2012,1,"BA",2923506,"Palmeiras","PHS",151,0.030622591766376,3,0.578584465625634,0.39079294260799,-0.547961873859258,0,NA,NA
"5859",2012,1,"BA",2923605,"Paramirim","PSD",6857,0.58636907815974,1,0.58636907815974,0.41363092184026,0.17273815631948,1,5958,0.48106580540977
"5860",2012,1,"BA",2923605,"Paramirim","PT",4837,0.41363092184026,2,0.58636907815974,0.41363092184026,-0.17273815631948,0,NA,NA
"5861",2012,1,"BA",2923704,"Paratinga","PP",8876,0.523102310231023,1,0.523102310231023,0.476897689768977,0.0462046204620462,1,7092,0.421115135680779
"5862",2012,1,"BA",2923704,"Paratinga","PT",8092,0.476897689768977,2,0.523102310231023,0.476897689768977,-0.0462046204620462,0,9019,0.535538269698949
